location,BUK,BUK Registrace,BUK guest,Buben 2.4G,O2-Internet_9D7,Simon,iPhone (Артём)
third_right_kitchen,unset,-77.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-77.0,unset
third_right_kitchen,-77.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-78.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,-84.0,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-49.0
third_right_kitchen,unset,unset,unset,-64.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-74.0,unset
third_right_kitchen,unset,unset,-87.0,unset,unset,unset,unset
third_right_kitchen,-57.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-58.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-32.0
third_right_kitchen,unset,unset,unset,-59.0,unset,unset,unset
third_right_kitchen,unset,unset,-63.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-41.0
third_right_kitchen,-59.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-56.0,unset,unset,unset,unset,unset
third_right_kitchen,-84.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,-85.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-42.0
third_right_kitchen,unset,-84.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-82.0,unset,unset,unset
third_right_kitchen,unset,unset,-62.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-75.0,unset
third_right_kitchen,unset,unset,unset,-61.0,unset,unset,unset
third_right_kitchen,-84.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-45.0
third_right_kitchen,unset,-83.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,-61.0,unset,unset,unset,unset
third_right_kitchen,-61.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-72.0,unset
third_right_kitchen,unset,unset,unset,-64.0,unset,unset,unset
