location,BUK,BUK Registrace,BUK guest,Buben 2.4G,DORTIK,David A52s,Pindík,Vodafone-00D3,Vodafone-0219,Vodafone-4FF3,Vodafone-5A20,iPhone (Артём)
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,-92.0,unset,unset
third_left_kitchen,unset,unset,unset,-66.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-20.0
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-22.0
third_left_kitchen,unset,unset,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-83.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-77.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-62.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,-71.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,-92.0,unset,unset,unset,unset
third_left_kitchen,unset,-73.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-62.0,unset,unset,unset,unset,unset
third_left_kitchen,-77.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,-90.0,unset,unset
third_left_kitchen,unset,unset,unset,-64.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-22.0
third_left_kitchen,unset,unset,unset,-63.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-62.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-53.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-19.0
third_left_kitchen,-75.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-75.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-84.0,unset
third_left_kitchen,unset,unset,-51.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-62.0,unset,unset,unset,unset,unset
third_left_kitchen,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-71.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-19.0
third_left_kitchen,unset,unset,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-75.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-63.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-77.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-77.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,-83.0,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-20.0
third_left_kitchen,unset,unset,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,-91.0,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-59.0,unset,unset,unset,unset,unset
third_left_kitchen,-77.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-66.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-20.0
third_left_kitchen,unset,unset,-90.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-60.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-65.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-79.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-19.0
third_left_kitchen,unset,-76.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-56.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-53.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-53.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-23.0
third_left_kitchen,unset,unset,unset,unset,unset,unset,-59.0,unset,unset,unset,unset,unset
third_left_kitchen,-77.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-84.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-61.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-76.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,-86.0,unset,unset,unset
third_left_kitchen,unset,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-24.0
third_left_kitchen,unset,unset,unset,-67.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-61.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-22.0
third_left_kitchen,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-60.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-86.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-63.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-59.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-82.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-73.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-23.0
third_left_kitchen,unset,unset,-60.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-86.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-61.0,unset,unset,unset,unset,unset
third_left_kitchen,-62.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-78.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,-77.0,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-21.0
third_left_kitchen,unset,unset,-43.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-43.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-66.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,-84.0,unset,unset,unset
third_left_kitchen,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-45.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-23.0
third_left_kitchen,unset,unset,unset,-77.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-84.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-77.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-88.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-71.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-39.0
third_left_kitchen,unset,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-81.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-84.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-25.0
third_left_kitchen,unset,unset,unset,-65.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-72.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-67.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-25.0
third_left_kitchen,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-75.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-88.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-76.0,unset,unset,unset,unset,unset
third_left_kitchen,-68.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-68.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,-82.0,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-27.0
third_left_kitchen,unset,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-58.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,-84.0,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-82.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,-90.0,unset,unset,unset
third_left_kitchen,-69.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-24.0
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,-91.0,unset,unset,unset,unset
third_left_kitchen,unset,-64.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-79.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-70.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-39.0
third_left_kitchen,unset,unset,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-76.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-68.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-37.0
third_left_kitchen,unset,unset,unset,unset,unset,-87.0,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-71.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-83.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-71.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,-88.0,unset,unset,unset
third_left_kitchen,unset,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-41.0
third_left_kitchen,unset,unset,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-68.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-79.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-66.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-36.0
third_left_kitchen,unset,unset,-59.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-66.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-72.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-61.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-58.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,-88.0,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-38.0
third_left_kitchen,unset,unset,unset,-82.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-80.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-73.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-30.0
third_left_kitchen,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-79.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,-77.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-75.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,-65.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-84.0,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,-87.0,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-36.0
third_left_kitchen,unset,unset,unset,unset,unset,-80.0,unset,unset,unset,unset,unset,unset
third_left_kitchen,-76.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,unset,unset,unset,-75.0,unset,unset,unset,unset,unset
third_left_kitchen,unset,unset,unset,-84.0,unset,unset,unset,unset,unset,unset,unset,unset
