location,Internet_BEF1,iPhone (Артём),BUK,UPC931A3F3,Buben 2.4G,BUK guest,BUK Registrace
room,,,,,,"[-84, '4a:eb:62:58:92:93']",
stairs,,,,,"[-70, '38:ff:36:aa:a4:c8']"
stairs,"[-70, '38:ff:36:ea:a4:c8']",,,,
stairs,,"[-66, 'd4:68:4d:25:1f:d8']",,,
stairs,,,,"[-42, 'c2:21:c9:ab:21:c9']",
stairs,,,"[-83, '58:b6:33:5d:93:58']",,
stairs,,,,,"[-76, '38:ff:36:aa:a4:c8']"
stairs,"[-78, '38:ff:36:ea:a4:c8']",,,,
stairs,,"[-81, '58:b6:33:1d:75:98']",,,
stairs,,,,"[-37, 'c2:21:c9:ab:21:c9']",
stairs,,,"[-63, 'd4:68:4d:65:1f:d8']",,
stairs,,,,,"[-76, '38:ff:36:aa:a4:c8']"
stairs,"[-74, '38:ff:36:ea:a4:c8']",,,,
stairs,,"[-61, 'd4:68:4d:25:1f:d8']",,,
stairs,,,"[-84, '58:b6:33:5d:75:98']",,
stairs,,,,"[-40, 'c2:21:c9:ab:21:c9']",
stairs,,,,,"[-87, 'f0:b0:52:b8:5b:a8']"
stairs,"[-64, 'd4:68:4d:e5:1f:d8']",,,,
stairs,,"[-86, 'f0:b0:52:38:5b:a8']",,,
stairs,,,"[-87, 'f0:b0:52:78:5b:a8']",,
stairs,,,,"[-39, 'c2:21:c9:ab:21:c9']",
stairs,,,,,"[-73, '38:ff:36:aa:a4:c8']"
stairs,"[-70, '38:ff:36:ea:a4:c8']",,,,
stairs,,"[-71, '38:ff:36:2a:a4:c8']",,,
stairs,,,,"[-38, 'c2:21:c9:ab:21:c9']",
stairs,,,"[-72, '38:ff:36:6a:a4:c8']",,
stairs,,,,,"[-93, '38:ff:36:ad:d8:38']"
stairs,"[-58, 'd4:68:4d:e5:1f:d8']",,,,
stairs,,"[-70, '38:ff:36:2a:a4:c8']",,,
stairs,,,"[-90, '38:ff:36:6d:d8:38']",,
stairs,,,,"[-43, 'c2:21:c9:ab:21:c9']",
stairs,,,,,,"[-89, '58:b6:33:9d:df:58']"
stairs,"[-89, '58:b6:33:dd:df:58']",,,,,
stairs,,,"[-87, '58:b6:33:1d:df:58']",,,
stairs,,,,"[-90, '58:b6:33:5d:df:58']",,
stairs,,,,,"[-40, 'c2:21:c9:ab:21:c9']",
stairs,,,,,,"[-72, 'd4:68:4d:a5:1f:d8']"
stairs,"[-84, '58:b6:33:dd:93:58']",,,,,
stairs,,,"[-85, '58:b6:33:1d:93:58']",,,
stairs,,,,"[-69, 'd4:68:4d:65:1f:d8']",,
stairs,,,,,"[-40, 'c2:21:c9:ab:21:c9']",
stairs,,"[-88, '90:5c:44:c4:26:06']",,,,
